
country,year,bank_z_score,capital_adequacy_ratio,credit_private_sector,gdp_growth,inflation,npl_ratio,credit_growth,ecb_refi_rate,interest_rate,credit_growth_log,unemployment
EE,2011,11.6433,18.606806,77.6974740615692,7.60697458913162,5.53917467550018,4.04580581090276,-16.247588373301948,1.0,1.0,-17.73052201548362,12.328
EE,2012,11.60134,19.317403,72.2027888223515,3.67201872506541,4.20552981379841,2.62266859406297,-7.071896873846361,0.75,0.75,-7.334407648390329,10.021
EE,2013,13.33931,19.973026,68.5375028876915,1.75649379621869,4.12395389036655,1.47462231497042,-5.07637723478812,0.25,0.25,-5.2097588637979975,8.631
EE,2014,12.67973,35.652592,66.1950212073508,3.32278988182702,2.85654308393384,1.38823609881308,-3.417810077176564,0.05,0.05,-3.4775831096682808,7.352
EE,2015,12.61989,28.009124,67.4650306257923,1.83815262882932,1.30643907694559,2.76894770314042,1.918587524072679,0.05,0.05,1.900414706697351,6.412
EE,2016,9.927593,31.822825,68.0924238041091,3.09301920751959,2.43852660721117,2.17676369026511,0.9299531512803494,0.0,0.0,0.9256557092157004,6.882
EE,2017,9.926767,29.240312,62.5716628545863,5.63467248963991,3.74109847269489,2.37887496554021,-8.107746267639316,0.0,0.0,-8.455345036012574,5.807
EE,2018,9.10916,28.50864,60.748593942948,3.69969756161726,4.84907461768212,1.55123999961087,-2.9135695432532027,0.0,0.0,-2.9568568584743105,5.412
EE,2019,8.922285,25.422894,58.2254963400439,3.72664943466884,3.8226798680774,1.97424852159292,-4.153343211982263,0.0,0.0,-4.242059672897458,4.514
EE,2020,8.281074,26.529449,62.4567267312529,-2.88380751483778,0.753338456718083,1.64284699281484,7.26697178586182,0.0,0.0,7.015060439022225,6.956
EE,2021,8.421521,,59.279176405063,7.15444676280146,5.37232986473111,1.08679556479312,-5.087603037320044,0.0,0.0,-5.221585705259457,6.178
EE,2022,,,56.9989055452784,0.0604305165130938,15.782419402399,0.801295827497159,-3.846664204986905,2.5,2.5,-3.9226020899231,5.571
ES,2000,19.12008,12.4,,5.20064125553942,3.41275208349518,,,4.75,4.75,,13.785
ES,2001,21.66811,12.9,94.9394409772958,3.91908880808811,4.16231327621294,,5.059073008179338,3.25,3.25,,10.348
ES,2002,20.19115,12.5,99.2929603794007,2.75545611564098,4.09170227034321,,4.585575138520159,2.75,2.75,4.483545114749798,11.146
ES,2003,19.08102,11.1,106.544052882645,2.9392895953076,4.00396572542915,,7.302725667094334,2.0,2.0,7.048386562876452,11.283
ES,2004,18.67418,11.0,115.928325847413,3.1145314799161,3.9116657619694,,8.807880600435292,2.0,2.0,8.44135777999755,11.09
ES,2005,17.20596,12.0,135.871253994626,3.5512255846125,4.21292340639742,,17.20280871946882,2.25,2.25,15.873565605084217,9.146
ES,2006,16.60573,11.9,156.580256642945,4.04343515605099,4.0724888213377,,15.241636504759205,3.5,3.5,14.186092496703662,8.452
ES,2007,15.84539,11.4,167.635941463016,3.53350013165972,3.56123409827231,,7.060714458580586,4.0,4.0,6.822591239575715,8.232
