
country,year,bank_z_score,bank_z_score_avail,npl_ratio,npl_ratio_filled,imputed_npl,capital_adequacy_ratio,capital_adequacy_ratio_filled,imputed_tier1,credit_to_gdp_ratio,credit_to_gdp_gap,credit_growth,credit_growth_log,gdp_growth,inflation,unemployment,policy_rate,financial_crisis_dummy,debt_crisis_dummy,covid_dummy
HR,2020,7.289279,1,7.62864949414571,7.62864949414571,0,24.91,24.91,0,59.1344076491961,4.781529795720829,11.744587496833404,11.104561229981025,-8.31164257884687,0.803359807884533,7.507,0.0,0,0,1
HR,2021,7.392629,1,5.69923091645787,5.69923091645787,0,,24.91,1,52.8563342810768,0.1085276772641776,-10.616616649587174,-11.223538964793978,12.6317003277712,2.08111752959877,7.608,0.0,0,0,0
HR,2022,,0,4.33106920944263,4.33106920944263,0,,24.91,1,50.5286799589489,-0.6079756388129454,-4.403737704832144,-4.503646402593642,7.28793643206565,8.01280669780672,6.96,2.5,0,0,0
IE,2000,2.883734,1,,0.480366744116291,1,10.7,10.7,0,,-3.474745472811847,,,9.40352464290197,6.87495031924017,4.318,4.75,0,0,0
IE,2001,2.398847,1,,0.480366744116291,1,13.2,13.2,0,71.776397881,-13.413648795063466,1.491053677932408,,5.30582177251378,6.859685812897,3.684,3.25,0,0,0
IE,2002,6.29248,1,,0.480366744116291,1,12.3,12.3,0,75.4068879464266,-19.68731459716038,5.058055534419115,4.934292122270989,5.89936644855928,5.18690234157557,4.216,2.75,0,0,0
IE,2003,,0,,0.480366744116291,1,13.9,13.9,0,85.7141754141768,-19.080551599526828,13.66889384836183,12.811959640921431,3.01383792883469,3.91173085426291,4.478,2.0,0,0,0
IE,2004,8.421561,1,,0.480366744116291,1,12.6,12.6,0,104.895719569245,-9.03014342851803,22.378496978337203,20.194849037533924,6.78813894175178,0.515337707388923,4.491,2.0,0,0,0
IE,2005,4.700133,1,0.480366744116291,0.480366744116291,0,12.0,12.0,0,124.638031848001,2.706983956881388,18.82089408397973,17.24470816038357,5.73978266558288,3.07321020594998,4.237,2.25,0,0,0
IE,2006,3.55491,1,0.534720753421795,0.534720753421795,0,10.9,10.9,0,144.568695352522,16.405277697679452,15.990836191016644,14.834100364443437,4.98785480513406,3.41989670280822,4.355,3.5,0,0,0
IE,2007,3.616205,1,0.629176742433281,0.629176742433281,0,11.8,11.8,0,158.097607403232,26.09442931366206,9.358120039556647,8.945781571251121,5.31011673012934,1.19848949350619,4.98,4.0,0,0,0
IE,2008,2.850887,1,1.92252115115214,1.92252115115214,0,12.1,12.1,0,166.321037293602,33.32644952068537,5.201489146762306,5.07072696028068,-4.48406956719268,-0.504526765679074,6.774,2.5,1,0,0
IE,2009,1.083576,1,9.7963666080107,9.7963666080107,0,12.8,12.8,0,169.251111407609,38.30826183197488,1.7616978355147197,1.7463598168882657,-5.09578178826901,-4.624598995889,12.609,1.0,1,0,0
IE,2010,0.0173334,1,12.4666710113595,12.4666710113595,0,14.466759,14.466759,0,133.274209706726,7.287778843045103,-21.25652316352564,-23.89747455358071,1.68297227062031,-2.85830310917899,14.534,1.0,1,0,0
IE,2011,5.305152,1,16.1214680824703,16.1214680824703,0,18.916551,18.916551,0,114.569077145103,-4.077804476232188,-14.035072954312932,-15.123079796798676,1.64877400406158,1.86453750802245,15.354,1.0,0,1,0
IE,2012,6.780249,1,21.3116231755291,21.3116231755291,0,19.24174,19.24174,0,110.465824989067,0.9471953677613244,-3.5814656609646778,-3.647173792437197,-0.398960481731095,2.43515150873688,15.451,0.75,0,1,0
IE,2013,6.858834,1,22.3727039607198,22.3727039607198,0,20.503867,20.503867,0,102.245329399553,3.0900048080142284,-7.441664053409824,-7.733108136939748,2.19217619489058,1.33941349781583,13.735,0.25,0,1,0
IE,2014,10.70941,1,20.64880382204,20.64880382204,0,22.677673,22.677673,0,78.2802254597573,-9.83986275390113,-23.4388251087198,-26.708009294128487,9.33603375045837,0.260925697359397,11.858,0.05,0,0,0
IE,2015,16.06367,1,16.9137587763139,16.9137587763139,0,24.374692,24.374692,0,51.2166254593615,-25.79031675800721,-34.57271595916494,-42.42308273545774,24.6155698980205,8.90845066754397,9.908,0.05,0,0,0
IE,2016,14.43176,1,12.6269750146121,12.6269750146121,0,26.940846,26.940846,0,47.3400512716839,-18.971458433150666,-7.568976192610588,-7.870750820248684,1.2226384923421,0.119373802131435,8.374,0.0,0,0,0
IE,2017,14.6578,1,11.4589228987576,11.4589228987576,0,25.337047,25.337047,0,42.6010661546094,-13.670444456031548,-10.010519612405,-10.547740707163957,10.0496284821662,1.49993727186828,6.713,0.0,0,0,0
IE,2018,15.39093,1,5.45685456904851,5.45685456904851,0,25.385863,25.385863,0,39.7499596173988,-7.184990667642495,-6.692570854596114,-6.927045488032935,7.5443421414267,0.924336877126677,5.741,0.0,0,0,0
IE,2019,15.26282,1,3.36383712525729,3.36383712525729,0,24.974393,24.974393,0,36.0629743585384,-2.1501552751903645,-9.275444036543345,-9.734212721389524,5.04054996161159,3.39169585174939,4.95,0.0,0,0,0
IE,2020,11.42363,1,3.36142776920367,3.36142776920367,0,25.469175,25.469175,0,32.2997621376255,2.354262481905401,-10.435113264643704,-11.020683193014014,7.1578988000836,-1.92433936175075,5.623,0.0,0,0,1
