
country,year,short_nominal_cs,inflation,real_rate_cs
FI,2021,0.05,2.49284202465265,-2.4428420246526503
FI,2022,2.55,6.17278075702792,-3.62278075702792
FR,2000,4.93,1.41757333768415,3.5124266623158498
FR,2001,3.43,1.90239797511535,1.5276020248846502
FR,2002,2.93,2.06427792329687,0.86572207670313
FR,2003,2.18,1.80137944811318,0.3786205518868202
FR,2004,2.18,1.63363930976588,0.5463606902341203
FR,2005,2.43,1.96210336343643,0.46789663656357017
FR,2006,3.68,1.99737953136012,1.6826204686398802
FR,2007,4.18,2.38503020327239,1.7949697967276097
FR,2008,2.68,2.30079918762539,0.37920081237461023
FR,2009,1.18,0.105961139274143,1.0740388607258569
FR,2010,1.18,1.089446423803,0.090553576197
FR,2011,1.18,0.851478363204762,0.32852163679523794
FR,2012,0.9299999999999999,1.08204690089583,-0.15204690089583006
FR,2013,0.43,0.747875807422233,-0.31787580742223304
FR,2014,0.2300000007450581,0.570795054388284,-0.34079505364322593
FR,2015,0.2300000007450581,1.13444009013935,-0.904440089394292
FR,2016,0.18,0.517258232209031,-0.337258232209031
FR,2017,0.18,0.586343157961707,-0.406343157961707
FR,2018,0.18,1.11459331332806,-0.9345933133280602
FR,2019,0.18,1.21052308336793,-1.03052308336793
FR,2020,0.18,2.97797868174696,-2.79797868174696
FR,2021,0.18,1.22181614073425,-1.04181614073425
FR,2022,2.68,3.22063216992299,-0.5406321699229899
GR,2000,5.02,1.61880051326631,3.40119948673369
GR,2001,3.52,3.47068701648989,0.04931298351010982
GR,2002,3.02,2.95365642320316,0.06634357679683989
GR,2003,2.27,3.55858829752319,-1.28858829752319
GR,2004,2.27,2.96881070204127,-0.6988107020412699
GR,2005,2.52,1.90041788925922,0.61958211074078
GR,2006,3.77,3.36453600825695,0.40546399174305003
GR,2007,4.27,3.36710379338597,0.9028962066140296
GR,2008,2.77,4.06288884890627,-1.2928888489062698
GR,2009,1.27,2.36843430509732,-1.09843430509732
GR,2010,1.27,1.18092065228493,0.08907934771506998
GR,2011,1.27,0.976657802861098,0.29334219713890197
GR,2012,1.02,-0.334569925784251,1.354569925784251
GR,2013,0.52,-1.9603216018036,2.4803216018036
GR,2014,0.32000000074505813,-1.92347455777482,2.2434745585198783
GR,2015,0.32000000074505813,-0.174753732642159,0.4947537333872171
GR,2016,0.27,-0.489961144384012,0.759961144384012
GR,2017,0.27,0.2036135315862,0.06638646841380003
GR,2018,0.27,-0.234800451317412,0.504800451317412
GR,2019,0.27,0.245015781395267,0.024984218604733016
GR,2020,0.27,-0.363959702932064,0.633959702932064
GR,2021,0.27,1.39275644673982,-1.12275644673982
GR,2022,2.77,6.49582431023742,-3.7258243102374196
HR,2000,4.87,4.35088461209688,0.5191153879031205
HR,2001,3.37,4.22808559680259,-0.8580855968025896
HR,2002,2.87,3.84070455117511,-0.97070455117511
HR,2003,2.12,4.30049516603847,-2.1804951660384697
HR,2004,2.12,3.62413483551181,-1.50413483551181
HR,2005,2.37,3.11436952510556,-0.7443695251055598
HR,2006,3.62,3.88062372679858,-0.2606237267985798
HR,2007,4.12,4.28626980768851,-0.16626980768850963
HR,2008,2.62,5.52922978301194,-2.9092297830119396
HR,2009,1.12,2.98499874568037,-1.8649987456803698
HR,2010,1.12,0.920113149429753,0.19988685057024713
HR,2011,1.12,1.66934505042573,-0.5493450504257298
HR,2012,0.87,1.41145606381943,-0.54145606381943
HR,2013,0.37,0.73288886582057,-0.36288886582057
HR,2014,0.1700000007450581,0.126544520072585,0.043455480672473124
HR,2015,0.1700000007450581,0.12437215819854,0.04562784254651811
HR,2016,0.12,0.0151130697192627,0.1048869302807373
HR,2017,0.12,1.23163897621677,-1.1116389762167702
HR,2018,0.12,2.02559756591751,-1.90559756591751
HR,2019,0.12,1.98838183285723,-1.8683818328572301
HR,2020,0.12,0.803359807884533,-0.683359807884533
HR,2021,0.12,2.08111752959877,-1.96111752959877
HR,2022,2.62,8.01280669780672,-5.39280669780672
IE,2000,4.97,6.87495031924017,-1.9049503192401707
IE,2001,3.47,6.859685812897,-3.389685812897
IE,2002,2.97,5.18690234157557,-2.21690234157557
IE,2003,2.22,3.91173085426291,-1.69173085426291
IE,2004,2.22,0.515337707388923,1.704662292611077
IE,2005,2.47,3.07321020594998,-0.60321020594998
IE,2006,3.72,3.41989670280822,0.3001032971917801
IE,2007,4.22,1.19848949350619,3.0215105064938097
IE,2008,2.72,-0.504526765679074,3.224526765679074
IE,2009,1.22,-4.624598995889,5.844598995889
IE,2010,1.22,-2.85830310917899,4.07830310917899
IE,2011,1.22,1.86453750802245,-0.64453750802245
IE,2012,0.97,2.43515150873688,-1.46515150873688
IE,2013,0.47,1.33941349781583,-0.8694134978158301
IE,2014,0.2700000007450581,0.260925697359397,0.009074303385661064
IE,2015,0.2700000007450581,8.90845066754397,-8.638450666798912
IE,2016,0.22,0.119373802131435,0.100626197868565
IE,2017,0.22,1.49993727186828,-1.27993727186828
IE,2018,0.22,0.924336877126677,-0.704336877126677
IE,2019,0.22,3.39169585174939,-3.17169585174939
IE,2020,0.22,-1.92433936175075,2.1443393617507502
IE,2021,0.22,1.09810280913958,-0.8781028091395799
IE,2022,2.72,6.76287575128831,-4.04287575128831
IT,2000,5.05,1.75602880174426,3.29397119825574
IT,2001,3.55,3.06397974076236,0.4860202592376397
IT,2002,3.05,3.30500762478148,-0.2550076247814803
IT,2003,2.3,3.16726436365273,-0.8672643636527302
IT,2004,2.3,2.62976042746949,-0.3297604274694903
IT,2005,2.55,2.08420453015475,0.4657954698452498
IT,2006,3.8,2.21589142791035,1.58410857208965
IT,2007,4.3,2.46674492041734,1.8332550795826599
IT,2008,2.8,2.40459496845904,0.39540503154095985
IT,2009,1.3,1.77253535397509,-0.47253535397509006
IT,2010,1.3,0.597839702916559,0.7021602970834411
IT,2011,1.3,1.72878370885738,-0.42878370885738004
IT,2012,1.05,1.70237982317502,-0.65237982317502
IT,2013,0.55,1.12578403623358,-0.57578403623358
